date,temp_avg_c,temp_max_c,temp_min_c,precip_mm,humidity_pct,windspeed_ms,cloud_cover_pct
2022-08-01,30.93,40.58,22.66,0.18,48.52,3.4,19.79
2022-08-02,30.01,38.79,21.79,0.06,49.87,3.24,22.09
2022-08-03,29.69,38.35,21.44,0.02,46.99,3.6,4.11
2022-08-04,30.06,38.95,21.37,0.0,48.71,2.95,21.89
2022-08-05,30.28,38.49,22.67,0.0,46.93,2.82,25.25
2022-08-06,30.0,38.4,22.85,0.0,46.4,2.79,31.48
2022-08-07,29.72,37.31,21.85,0.0,39.8,2.36,28.57
2022-08-08,30.91,38.16,23.71,0.0,37.3,2.54,11.91
2022-08-09,31.05,38.3,24.45,0.0,39.64,2.84,15.55
2022-08-10,30.37,37.42,23.31,0.0,45.6,2.7,21.64
2022-08-11,30.13,37.7,22.87,0.0,44.5,2.61,20.52
2022-08-12,29.63,37.12,22.62,0.0,46.52,3.06,23.06
2022-08-13,29.16,37.26,21.89,0.0,48.57,3.51,10.25
2022-08-14,29.84,38.27,21.69,0.03,50.09,3.24,4.89
2022-08-15,29.46,37.17,21.84,0.0,51.2,2.88,30.57
2022-08-16,29.64,37.93,21.73,0.27,50.42,3.44,20.73
2022-08-17,29.03,37.51,21.57,0.15,48.4,3.28,19.4
2022-08-18,29.52,38.87,21.25,0.03,49.43,2.94,9.41
2022-08-19,29.88,38.14,21.55,0.0,44.6,2.4,21.78
2022-08-20,31.17,39.88,23.03,0.0,44.67,2.96,21.39
2022-08-21,31.08,38.81,23.33,0.0,37.7,2.47,21.84
2022-08-22,31.55,39.58,23.65,0.0,45.01,2.38,22.13
2022-08-23,32.51,40.3,25.0,0.0,36.51,2.65,4.1
2022-08-24,33.35,41.9,25.14,0.0,33.71,2.64,11.24
2022-08-25,31.06,38.72,24.42,0.0,50.85,4.05,40.86
2022-08-26,29.86,37.06,22.76,0.0,44.18,2.63,22.29
2022-08-27,30.15,38.54,21.99,0.0,41.52,3.67,6.82
2022-08-28,30.15,38.49,23.04,0.0,51.25,4.25,15.09
2022-08-29,30.08,38.77,22.75,0.13,53.23,3.94,27.09
2022-08-30,30.04,38.22,23.06,0.58,53.62,3.11,41.77
2022-08-31,29.58,37.07,23.28,0.29,53.09,3.44,26.71
2022-09-01,29.44,37.86,22.04,0.0,50.09,3.82,8.1
2022-09-02,29.5,37.54,22.04,0.0,50.61,3.36,9.07
2022-09-03,29.45,37.61,22.84,0.0,52.43,3.52,7.92
2022-09-04,29.11,37.84,21.94,0.0,51.93,3.79,8.29
2022-09-05,28.73,36.81,21.66,0.0,53.73,3.2,7.67
2022-09-06,28.26,35.92,21.64,0.0,54.55,3.49,14.61
2022-09-07,28.55,35.85,22.05,0.0,54.96,3.03,26.07
2022-09-08,29.25,36.74,21.75,0.0,52.8,2.97,21.31
2022-09-09,29.14,37.39,21.62,0.0,51.63,3.74,9.89
2022-09-10,28.5,37.2,20.82,0.0,47.03,3.56,9.24
2022-09-11,28.36,37.85,19.21,0.0,46.4,2.64,4.84
2022-09-12,29.26,37.79,21.5,0.0,51.38,2.52,21.91
2022-09-13,28.49,36.29,21.58,0.0,51.96,2.71,23.37
2022-09-14,27.31,34.48,20.46,0.0,46.33,2.73,6.08
2022-09-15,26.38,33.6,19.45,0.0,47.85,2.75,5.82
2022-09-16,26.32,33.18,20.57,0.0,42.13,1.77,5.46
2022-09-17,27.05,34.2,20.21,0.0,50.5,2.09,39.27
2022-09-18,27.53,34.64,20.89,0.04,47.35,2.13,5.15
2022-09-19,27.68,35.34,20.35,0.58,52.0,2.5,5.41
2022-09-20,26.9,33.94,21.55,3.32,55.81,2.3,13.58
2022-09-21,25.51,33.22,18.86,0.0,53.02,2.57,4.86
2022-09-22,28.25,36.43,20.56,0.0,41.61,2.71,1.56
2022-09-23,28.77,36.62,22.29,0.0,50.84,3.59,1.53
2022-09-24,28.54,37.64,21.25,0.0,47.41,4.39,26.22
2022-09-25,29.02,38.53,21.23,0.0,49.94,4.02,15.55
2022-09-26,29.68,39.03,22.12,0.0,45.98,3.14,1.49
2022-09-27,29.25,38.11,21.32,0.0,47.89,3.06,1.39
2022-09-28,28.8,37.09,21.62,0.0,43.93,2.93,2.56
2022-09-29,29.79,38.72,22.14,0.0,36.38,3.93,1.4
2022-09-30,30.2,39.49,22.41,0.0,46.09,4.54,1.52
